trt,gen,zero1,lt151,gt151,zero2,lt152,gt152,tot1,spo1,veg1,mat1,tot2,spo2,veg2,mat2
temp_lbeta_1_0.500,425,10452,21347,58199,40341,479,49178,79546,40,33289,15132,49657,0,686,48220
temp_lbeta_1_0.667,425,11545,22601,55852,40920,497,48581,78453,17,42288,14892,49078,0,912,47553
temp_lbeta_1_0.800,425,12110,17939,59949,40774,432,48792,77888,0,46154,14705,49223,0,1183,47475
temp_lbeta_1_1.000,425,13869,14418,61711,41898,430,47670,76129,0,50638,14341,48100,0,1411,46269
temp_lbeta_1_1.250,425,16538,16509,56951,43230,575,46193,73460,0,52525,13885,46768,0,1872,44478
temp_lbeta_1_1.500,425,22910,10376,56712,46570,570,42858,67087,0,45074,17007,43428,0,2492,40546
temp_lbeta_1_2.000,425,37311,5134,47553,54035,532,35431,52687,0,29789,19566,35963,0,3331,32139
temp_ubeta_1_0.500,425,35766,0,54232,53167,0,36831,54232,0,0,54232,36831,0,0,36831
temp_ubeta_1_0.667,425,47660,0,42338,59762,0,30236,42338,0,0,42333,30236,0,0,30235
temp_ubeta_1_0.800,425,55221,0,34777,64155,0,25843,34777,0,0,34760,25843,0,0,25843
temp_ubeta_1_1.000,425,66259,0,23739,71623,0,18375,23739,0,0,23705,18375,0,0,18372
temp_ubeta_1_1.250,425,77896,0,12102,79875,0,10123,12102,0,0,12092,10123,0,0,10123
temp_ubeta_1_1.500,425,84388,0,5610,85028,0,4970,5610,0,0,5588,4970,0,0,4970
temp_ubeta_1_2.000,425,89653,0,345,89678,0,320,345,0,0,344,320,0,0,320
temp_lbeta_1_0.500,450,10258,21258,58482,40061,380,49557,79740,48,34083,15238,49937,4,624,48557
temp_lbeta_1_0.667,450,11363,23457,55178,40430,444,49124,78635,6,42986,14749,49568,1,878,48097
temp_lbeta_1_0.800,450,12354,17353,60291,41119,361,48518,77644,1,46027,14732,48879,0,1086,47219
temp_lbeta_1_1.000,450,14011,14031,61956,42110,448,47440,75987,0,50258,14574,47888,0,1540,45919
temp_lbeta_1_1.250,450,16566,16901,56531,43036,578,46384,73432,0,52597,13707,46962,0,1756,44869
temp_lbeta_1_1.500,450,21737,10609,57652,45714,502,43782,68261,0,47331,15515,44284,0,2427,41467
temp_lbeta_1_2.000,450,37249,5063,47686,53784,482,35732,52747,0,29810,19436,36214,0,3447,32247
temp_ubeta_1_0.500,450,35806,0,54192,53080,0,36918,54192,0,0,54189,36918,0,0,36918
temp_ubeta_1_0.667,450,47654,0,42344,59801,0,30197,42343,0,0,42338,30197,0,0,30197
temp_ubeta_1_0.800,450,55902,0,34096,64920,0,25078,34096,0,0,34085,25078,0,0,25073
temp_ubeta_1_1.000,450,66452,0,23546,71713,0,18285,23546,0,0,23528,18285,0,0,18285
temp_ubeta_1_1.250,450,77511,0,12487,79494,0,10504,12487,0,0,12487,10504,0,0,10504
temp_ubeta_1_1.500,450,85108,0,4890,85658,0,4340,4890,0,0,4875,4340,0,0,4340
temp_ubeta_1_2.000,450,89805,0,193,89820,0,178,193,0,0,193,178,0,0,178
temp_lbeta_1_0.500,475,10358,20183,59457,40185,435,49378,79640,34,33018,15221,49813,3,628,48322
temp_lbeta_1_0.667,475,11015,22408,56575,40494,465,49039,78983,2,42996,15058,49504,0,837,48045
temp_lbeta_1_0.800,475,12269,17836,59893,41078,359,48561,77727,0,46581,14642,48920,0,1051,47344
temp_lbeta_1_1.000,475,13678,13676,62644,41758,339,47901,76318,0,51054,14468,48240,0,1500,46298
temp_lbeta_1_1.250,475,16182,17746,56070,42784,613,46601,73815,0,53093,13719,47214,0,1895,44967
temp_lbeta_1_1.500,475,20880,10927,58191,45394,465,44139,69118,0,49313,14497,44604,0,2465,41812
temp_lbeta_1_2.000,475,36443,4974,48581,53491,440,36067,53555,0,31180,19015,36507,0,3268,32688
temp_ubeta_1_0.500,475,35869,0,54129,53016,0,36982,54129,0,0,54129,36982,0,0,36982
temp_ubeta_1_0.667,475,46923,0,43075,59224,0,30774,43075,0,0,43066,30768,0,0,30770
temp_ubeta_1_0.800,475,55348,0,34650,64359,0,25639,34650,0,0,34639,25639,0,0,25639
temp_ubeta_1_1.000,475,66356,0,23642,71604,0,18394,23642,0,0,23625,18394,0,0,18394
temp_ubeta_1_1.250,475,78144,0,11854,80031,0,9967,11854,0,0,11838,9967,0,0,9965
temp_ubeta_1_1.500,475,85679,0,4319,86209,0,3789,4319,0,0,4313,3789,0,0,3789
temp_ubeta_1_2.000,475,89815,0,183,89828,0,170,183,0,0,183,170,0,0,170
temp_lbeta_1_0.500,500,10590,20762,58646,40151,426,49421,79407,14,33083,15193,49847,0,666,48300
temp_lbeta_1_0.667,500,11150,21350,57498,40443,470,49085,78848,6,42456,15096,49555,0,910,48045
temp_lbeta_1_0.800,500,12135,17213,60650,41166,424,48408,77861,0,46533,14759,48832,0,1181,47114
temp_lbeta_1_1.000,500,13765,13101,63132,41786,351,47861,76232,0,51356,14418,48212,0,1391,46453
temp_lbeta_1_1.250,500,16490,17588,55920,43080,606,46312,73508,0,52724,13567,46918,0,1889,44677
temp_lbeta_1_1.500,500,20058,10622,59318,44810,419,44769,69940,0,50837,13951,45188,0,2330,42535
temp_lbeta_1_2.000,500,36439,4789,48770,53420,454,36124,53559,0,30952,19261,36578,0,3419,32682
temp_ubeta_1_0.500,500,36045,0,53953,53366,0,36632,53952,0,0,53953,36632,0,0,36632
temp_ubeta_1_0.667,500,47343,0,42655,59459,0,30539,42655,0,0,42644,30539,0,0,30538
temp_ubeta_1_0.800,500,55591,0,34407,64516,0,25482,34407,0,0,34381,25482,0,0,25476
temp_ubeta_1_1.000,500,66196,0,23802,71536,0,18462,23802,0,0,23762,18462,0,0,18456
temp_ubeta_1_1.250,500,78555,0,11443,80413,0,9585,11443,0,0,11407,9585,0,0,9585
temp_ubeta_1_1.500,500,86028,0,3970,86485,0,3513,3970,0,0,3970,3513,0,0,3513
temp_ubeta_1_2.000,500,89890,0,108,89893,0,105,108,0,0,108,105,0,0,105
temp_lbeta_1_0.500,525,10377,20280,59341,40166,467,49365,79621,36,33520,15225,49832,0,611,48467
temp_lbeta_1_0.667,525,11426,20358,58214,40729,355,48914,78572,5,41948,14976,49269,0,948,47693
temp_lbeta_1_0.800,525,12089,16998,60911,40872,340,48786,77909,5,46311,14811,49126,0,1025,47583
temp_lbeta_1_1.000,525,13770,13246,62982,41794,369,47835,76227,0,50938,14485,48204,0,1444,46340
temp_lbeta_1_1.250,525,16577,17494,55927,43333,557,46108,73421,0,52499,13808,46665,0,1809,44504
temp_lbeta_1_1.500,525,19683,10381,59934,44687,480,44831,70314,0,51743,13571,45311,0,2254,42728
temp_lbeta_1_2.000,525,36596,4456,48946,53542,426,36030,53402,0,31107,19015,36453,0,3432,32558
temp_ubeta_1_0.500,525,36160,0,53838,53241,0,36757,53836,0,0,53838,36757,0,0,36751
temp_ubeta_1_0.667,525,47366,0,42632,59507,0,30491,42632,0,0,42627,30491,0,0,30491
temp_ubeta_1_0.800,525,55077,0,34921,64395,0,25603,34921,0,0,34906,25603,0,0,25600
temp_ubeta_1_1.000,525,66579,0,23419,71817,0,18181,23419,0,0,23390,18178,0,0,18176
temp_ubeta_1_1.250,525,78057,0,11941,80057,0,9941,11941,0,0,11926,9941,0,0,9941
temp_ubeta_1_1.500,525,86787,0,3211,87138,0,2860,3211,0,0,3211,2860,0,0,2860
temp_ubeta_1_2.000,525,89953,0,45,89954,0,44,45,0,0,45,44,0,0,44
temp_lbeta_1_0.500,550,10534,20392,59072,40249,382,49367,79464,46,33681,15114,49747,0,613,48437
temp_lbeta_1_0.667,550,11362,19853,58783,40589,432,48977,78636,4,41715,14966,49409,0,921,47921
temp_lbeta_1_0.800,550,12062,15998,61938,41085,362,48551,77936,0,47518,14889,48913,0,1096,47252
temp_lbeta_1_1.000,550,13746,12876,63376,41744,344,47910,76252,0,51081,14299,48254,0,1398,46455
temp_lbeta_1_1.250,550,16606,18543,54849,43197,623,46178,73392,0,52513,13697,46801,0,1854,44660
temp_lbeta_1_1.500,550,19516,9886,60596,44609,415,44974,70482,0,52140,13397,45389,0,2457,42583
temp_lbeta_1_2.000,550,36018,4352,49628,53320,409,36269,53980,0,31764,18999,36678,0,3482,32718
temp_ubeta_1_0.500,550,36066,0,53932,53350,0,36648,53930,0,0,53932,36648,0,0,36648
temp_ubeta_1_0.667,550,47704,0,42294,59861,0,30137,42294,0,0,42291,30137,0,0,30137
temp_ubeta_1_0.800,550,55383,0,34615,64447,0,25551,34615,0,0,34598,25551,0,0,25551
temp_ubeta_1_1.000,550,66457,0,23541,71616,0,18382,23541,0,0,23516,18382,0,0,18356
temp_ubeta_1_1.250,550,77680,0,12318,79678,0,10320,12318,0,0,12293,10320,0,0,10319
temp_ubeta_1_1.500,550,87491,0,2507,87738,0,2260,2507,0,0,2507,2260,0,0,2260
temp_ubeta_1_2.000,550,89980,0,18,89980,0,18,18,0,0,18,18,0,0,18
temp_lbeta_1_0.500,575,10559,18410,61029,40499,412,49087,79439,41,34405,15196,49499,1,682,47936
temp_lbeta_1_0.667,575,11336,20561,58101,40652,472,48874,78662,0,42004,15044,49346,0,962,47778
temp_lbeta_1_0.800,575,11909,14887,63202,40737,385,48876,78089,1,46795,14800,49261,0,1010,47763
temp_lbeta_1_1.000,575,13992,12653,63353,41849,337,47812,76006,0,50573,14252,48149,0,1346,46347
temp_lbeta_1_1.250,575,16493,17585,55920,43048,549,46401,73504,0,52569,13748,46950,0,1742,44878
temp_lbeta_1_1.500,575,19667,8829,61502,44766,363,44869,70331,0,51921,13286,45232,0,2269,42638
temp_lbeta_1_2.000,575,35719,4455,49824,53042,455,36501,54279,0,31923,18862,36956,0,3594,32835
temp_ubeta_1_0.500,575,35936,0,54062,53178,0,36820,54062,0,0,54057,36820,0,0,36820
temp_ubeta_1_0.667,575,47476,0,42522,59775,0,30223,42522,0,0,42515,30223,0,0,30223
temp_ubeta_1_0.800,575,55217,0,34781,64325,0,25673,34781,0,0,34763,25673,0,0,25669
temp_ubeta_1_1.000,575,66134,0,23864,71409,0,18589,23864,0,0,23848,18589,0,0,18576
temp_ubeta_1_1.250,575,77441,0,12557,79457,0,10541,12557,0,0,12529,10541,0,0,10539
temp_ubeta_1_1.500,575,88122,0,1876,88306,0,1692,1876,0,0,1876,1692,0,0,1692
temp_ubeta_1_2.000,575,89998,0,0,89998,0,0,0,0,0,0,0,0,0,0
temp_lbeta_1_0.500,600,10578,18470,60950,40127,325,49546,79419,15,33613,15048,49871,0,660,48409
temp_lbeta_1_0.667,600,11337,20383,58278,40499,371,49128,78661,1,42048,14900,49499,0,959,47922
temp_lbeta_1_0.800,600,12397,13930,63671,41239,338,48421,77601,0,46286,14900,48759,0,1029,47172
temp_lbeta_1_1.000,600,13928,12636,63434,41982,314,47702,76070,0,50634,14427,48014,0,1410,46179
temp_lbeta_1_1.250,600,16506,17068,56424,43003,524,46471,73491,0,53126,13752,46995,0,1831,44875
temp_lbeta_1_1.500,600,19651,9458,60889,44605,313,45080,70347,0,52379,13143,45393,0,2076,43002
temp_lbeta_1_2.000,600,35318,4273,50407,52848,387,36763,54679,0,33008,18485,37150,0,3388,33301
