trt,gen,zero1,lt151,gt151,zero2,lt152,gt152,tot1,spo1,veg1,mat1,tot2,spo2,veg2,mat2
temp_link_0_0.90,600,13771,62037,14190,41735,1859,46404,76226,0,51118,14190,48263,0,1445,46404
temp_link_1_0.10,600,13734,16925,59339,41723,452,47823,76264,0,50648,14406,48275,0,1420,46351
temp_link_1_0.30,600,13889,41206,34903,41899,1124,46975,76109,0,51065,14320,48099,0,1382,46337
temp_link_1_0.50,600,13801,55045,21152,41918,1558,46522,76197,0,50970,14488,48080,0,1407,46325
temp_link_1_0.70,600,13929,61230,14839,42003,1734,46261,76069,0,50974,14398,47995,0,1382,46250
temp_link_1_0.90,600,13753,61783,14462,42005,1805,46188,76244,0,51317,14462,47993,0,1438,46188
temp_link_2_0.10,600,23435,10955,55608,46250,1057,42691,66563,0,29441,28052,43748,0,2913,39689
temp_link_2_0.30,600,20750,27323,41925,45127,5283,39588,69247,1,32756,26744,44871,0,6218,36450
temp_link_2_0.50,600,18200,40431,31367,44175,12350,33473,71798,20,36869,23172,45822,6,11068,30672
temp_link_2_0.70,600,15384,55692,18922,43132,26269,20597,74613,26,43505,15450,46866,10,19944,18588
temp_link_2_0.90,600,14125,66479,9394,43099,38415,8484,75873,395,47544,2674,46899,260,25599,2931
temp_link_3_0.10,600,13558,10261,66179,42564,6358,41076,76440,558,49263,135,47434,403,27623,125
temp_link_3_0.30,600,13851,23812,52335,43061,14618,32319,76147,843,49580,110,46937,521,27557,106
temp_link_3_0.50,600,14090,38909,36999,43080,24154,22764,75908,897,49263,198,46918,597,27812,177
temp_link_3_0.70,600,13916,51788,24294,42651,32333,15014,76082,747,48192,112,47347,486,27152,98
